year,month,city,region,category,cpi
1943,Sep,San Francisco,West,All Items,15.8
1943,Oct,San Francisco,West,All Items,16.0
1943,Nov,San Francisco,West,All Items,16.1
1943,Dec,San Francisco,West,All Items,16.1
1944,Jan,San Francisco,West,All Items,16.1
1944,Feb,San Francisco,West,All Items,16.0
1944,Mar,San Francisco,West,All Items,16.1
1944,Apr,San Francisco,West,All Items,16.2
1944,May,San Francisco,West,All Items,16.4
1944,Jun,San Francisco,West,All Items,16.3
1944,Jul,San Francisco,West,All Items,16.4
1944,Aug,San Francisco,West,All Items,16.4
1944,Sep,San Francisco,West,All Items,16.4
1944,Oct,San Francisco,West,All Items,16.6
1944,Nov,San Francisco,West,All Items,16.6
1944,Dec,San Francisco,West,All Items,16.8
1945,Jan,San Francisco,West,All Items,16.7
1945,Feb,San Francisco,West,All Items,16.6
1945,Mar,San Francisco,West,All Items,16.7
1945,Apr,San Francisco,West,All Items,16.8
1945,May,San Francisco,West,All Items,16.7
1945,Jun,San Francisco,West,All Items,16.8
1945,Jul,San Francisco,West,All Items,16.9
1945,Aug,San Francisco,West,All Items,16.8
1945,Sep,San Francisco,West,All Items,16.8
1945,Oct,San Francisco,West,All Items,16.8
1945,Nov,San Francisco,West,All Items,17.0
1945,Dec,San Francisco,West,All Items,17.2
1946,Jan,San Francisco,West,All Items,17.0
1946,Feb,San Francisco,West,All Items,16.8
1946,Mar,San Francisco,West,All Items,16.9
1946,Apr,San Francisco,West,All Items,16.9
1946,May,San Francisco,West,All Items,17.0
1946,Jun,San Francisco,West,All Items,17.4
1946,Jul,San Francisco,West,All Items,18.2
1946,Aug,San Francisco,West,All Items,18.7
1946,Sep,San Francisco,West,All Items,19.1
1946,Oct,San Francisco,West,All Items,19.4
1946,Nov,San Francisco,West,All Items,20.1
1946,Dec,San Francisco,West,All Items,20.3
1947,Jan,San Francisco,West,All Items,20.1
1947,Feb,San Francisco,West,All Items,20.0
1947,Mar,San Francisco,West,All Items,20.3
1947,Apr,San Francisco,West,All Items,20.4
1947,May,San Francisco,West,All Items,20.3
1947,Jun,San Francisco,West,All Items,20.1
1947,Jul,San Francisco,West,All Items,
1947,Aug,San Francisco,West,All Items,
1947,Sep,San Francisco,West,All Items,21.0
1947,Oct,San Francisco,West,All Items,
1947,Nov,San Francisco,West,All Items,
1947,Dec,San Francisco,West,All Items,21.4
1948,Jan,San Francisco,West,All Items,
1948,Feb,San Francisco,West,All Items,
1948,Mar,San Francisco,West,All Items,21.7
1948,Apr,San Francisco,West,All Items,
1948,May,San Francisco,West,All Items,
1948,Jun,San Francisco,West,All Items,22.0
1948,Jul,San Francisco,West,All Items,
1948,Aug,San Francisco,West,All Items,
1948,Sep,San Francisco,West,All Items,22.4
1948,Oct,San Francisco,West,All Items,
1948,Nov,San Francisco,West,All Items,
1948,Dec,San Francisco,West,All Items,22.4
1949,Jan,San Francisco,West,All Items,
1949,Feb,San Francisco,West,All Items,
1949,Mar,San Francisco,West,All Items,22.1
1949,Apr,San Francisco,West,All Items,
1949,May,San Francisco,West,All Items,
1949,Jun,San Francisco,West,All Items,22.0
1949,Jul,San Francisco,West,All Items,
1949,Aug,San Francisco,West,All Items,
1949,Sep,San Francisco,West,All Items,21.9
1949,Oct,San Francisco,West,All Items,
1949,Nov,San Francisco,West,All Items,
1949,Dec,San Francisco,West,All Items,21.7
1950,Jan,San Francisco,West,All Items,
1950,Feb,San Francisco,West,All Items,
1950,Mar,San Francisco,West,All Items,21.8
1950,Apr,San Francisco,West,All Items,
1950,May,San Francisco,West,All Items,
1950,Jun,San Francisco,West,All Items,21.7
1950,Jul,San Francisco,West,All Items,
1950,Aug,San Francisco,West,All Items,
1950,Sep,San Francisco,West,All Items,22.1
1950,Oct,San Francisco,West,All Items,
1950,Nov,San Francisco,West,All Items,
1950,Dec,San Francisco,West,All Items,22.9
1951,Jan,San Francisco,West,All Items,
1951,Feb,San Francisco,West,All Items,
1951,Mar,San Francisco,West,All Items,23.8
1951,Apr,San Francisco,West,All Items,
1951,May,San Francisco,West,All Items,
1951,Jun,San Francisco,West,All Items,23.7
1951,Jul,San Francisco,West,All Items,
1951,Aug,San Francisco,West,All Items,
1951,Sep,San Francisco,West,All Items,23.7
1951,Oct,San Francisco,West,All Items,
1951,Nov,San Francisco,West,All Items,
1951,Dec,San Francisco,West,All Items,24.3
1952,Jan,San Francisco,West,All Items,
1952,Feb,San Francisco,West,All Items,
1952,Mar,San Francisco,West,All Items,24.3
1952,Apr,San Francisco,West,All Items,
1952,May,San Francisco,West,All Items,
1952,Jun,San Francisco,West,All Items,24.8
1952,Jul,San Francisco,West,All Items,
1952,Aug,San Francisco,West,All Items,
1952,Sep,San Francisco,West,All Items,24.7
1952,Oct,San Francisco,West,All Items,
1952,Nov,San Francisco,West,All Items,
1952,Dec,San Francisco,West,All Items,24.9
1953,Jan,San Francisco,West,All Items,
1953,Feb,San Francisco,West,All Items,
1953,Mar,San Francisco,West,All Items,24.9
1953,Apr,San Francisco,West,All Items,
1953,May,San Francisco,West,All Items,
1953,Jun,San Francisco,West,All Items,25.0
1953,Jul,San Francisco,West,All Items,
1953,Aug,San Francisco,West,All Items,
1953,Sep,San Francisco,West,All Items,25.2
1953,Oct,San Francisco,West,All Items,
1953,Nov,San Francisco,West,All Items,
1953,Dec,San Francisco,West,All Items,25.2
1954,Jan,San Francisco,West,All Items,
1954,Feb,San Francisco,West,All Items,
1954,Mar,San Francisco,West,All Items,25.1
1954,Apr,San Francisco,West,All Items,
1954,May,San Francisco,West,All Items,
1954,Jun,San Francisco,West,All Items,25.1
1954,Jul,San Francisco,West,All Items,
1954,Aug,San Francisco,West,All Items,
1954,Sep,San Francisco,West,All Items,25.0
1954,Oct,San Francisco,West,All Items,
1954,Nov,San Francisco,West,All Items,
1954,Dec,San Francisco,West,All Items,24.9
1955,Jan,San Francisco,West,All Items,
1955,Feb,San Francisco,West,All Items,
1955,Mar,San Francisco,West,All Items,24.9
1955,Apr,San Francisco,West,All Items,
1955,May,San Francisco,West,All Items,
1955,Jun,San Francisco,West,All Items,24.9
1955,Jul,San Francisco,West,All Items,
1955,Aug,San Francisco,West,All Items,
1955,Sep,San Francisco,West,All Items,24.9
1955,Oct,San Francisco,West,All Items,
1955,Nov,San Francisco,West,All Items,
1955,Dec,San Francisco,West,All Items,24.9
1956,Jan,San Francisco,West,All Items,
1956,Feb,San Francisco,West,All Items,
1956,Mar,San Francisco,West,All Items,25.1
1956,Apr,San Francisco,West,All Items,
1956,May,San Francisco,West,All Items,
1956,Jun,San Francisco,West,All Items,25.4
1956,Jul,San Francisco,West,All Items,
1956,Aug,San Francisco,West,All Items,
1956,Sep,San Francisco,West,All Items,25.6
1956,Oct,San Francisco,West,All Items,
1956,Nov,San Francisco,West,All Items,
1956,Dec,San Francisco,West,All Items,26.2
1957,Jan,San Francisco,West,All Items,
1957,Feb,San Francisco,West,All Items,
1957,Mar,San Francisco,West,All Items,26.3
1957,Apr,San Francisco,West,All Items,
1957,May,San Francisco,West,All Items,
1957,Jun,San Francisco,West,All Items,26.4
1957,Jul,San Francisco,West,All Items,
1957,Aug,San Francisco,West,All Items,
1957,Sep,San Francisco,West,All Items,26.6
1957,Oct,San Francisco,West,All Items,
1957,Nov,San Francisco,West,All Items,
1957,Dec,San Francisco,West,All Items,26.9
1958,Jan,San Francisco,West,All Items,
1958,Feb,San Francisco,West,All Items,
1958,Mar,San Francisco,West,All Items,27.3
1958,Apr,San Francisco,West,All Items,
1958,May,San Francisco,West,All Items,
1958,Jun,San Francisco,West,All Items,27.6
1958,Jul,San Francisco,West,All Items,
1958,Aug,San Francisco,West,All Items,
1958,Sep,San Francisco,West,All Items,27.6
1958,Oct,San Francisco,West,All Items,
1958,Nov,San Francisco,West,All Items,
1958,Dec,San Francisco,West,All Items,27.6
1959,Jan,San Francisco,West,All Items,
1959,Feb,San Francisco,West,All Items,
1959,Mar,San Francisco,West,All Items,27.8
1959,Apr,San Francisco,West,All Items,
1959,May,San Francisco,West,All Items,
1959,Jun,San Francisco,West,All Items,27.9
1959,Jul,San Francisco,West,All Items,
1959,Aug,San Francisco,West,All Items,
1959,Sep,San Francisco,West,All Items,28.2
1959,Oct,San Francisco,West,All Items,
1959,Nov,San Francisco,West,All Items,
1959,Dec,San Francisco,West,All Items,28.4
1960,Jan,San Francisco,West,All Items,
1960,Feb,San Francisco,West,All Items,
1960,Mar,San Francisco,West,All Items,28.3
1960,Apr,San Francisco,West,All Items,
1960,May,San Francisco,West,All Items,
1960,Jun,San Francisco,West,All Items,28.5
1960,Jul,San Francisco,West,All Items,
1960,Aug,San Francisco,West,All Items,
1960,Sep,San Francisco,West,All Items,28.7
1960,Oct,San Francisco,West,All Items,
1960,Nov,San Francisco,West,All Items,
1960,Dec,San Francisco,West,All Items,28.9
1961,Jan,San Francisco,West,All Items,
1961,Feb,San Francisco,West,All Items,
1961,Mar,San Francisco,West,All Items,28.8
1961,Apr,San Francisco,West,All Items,
1961,May,San Francisco,West,All Items,
1961,Jun,San Francisco,West,All Items,28.8
1961,Jul,San Francisco,West,All Items,
1961,Aug,San Francisco,West,All Items,
1961,Sep,San Francisco,West,All Items,29.0
1961,Oct,San Francisco,West,All Items,
1961,Nov,San Francisco,West,All Items,
1961,Dec,San Francisco,West,All Items,29.1
1962,Jan,San Francisco,West,All Items,
1962,Feb,San Francisco,West,All Items,
1962,Mar,San Francisco,West,All Items,29.3
1962,Apr,San Francisco,West,All Items,
1962,May,San Francisco,West,All Items,
1962,Jun,San Francisco,West,All Items,29.4
1962,Jul,San Francisco,West,All Items,
1962,Aug,San Francisco,West,All Items,
1962,Sep,San Francisco,West,All Items,29.4
1962,Oct,San Francisco,West,All Items,
1962,Nov,San Francisco,West,All Items,
