year,month,category,cpi,region,period,estimatedcost,avg_wage,base_cpi,real_wage,state
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68,Alaska
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68,Hawaii
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11,Montana
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11,Idaho
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11,Wyoming
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11,Colorado
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11,New Mexico
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11,Arizona
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11,Utah
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11,Nevada
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11,Washington
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11,Oregon
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11,California
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11,Alaska
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11,Hawaii
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25,Montana
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25,Idaho
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25,Wyoming
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25,Colorado
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25,New Mexico
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25,Arizona
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25,Utah
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25,Nevada
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25,Washington
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25,Oregon
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25,California
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25,Alaska
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25,Hawaii
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538,250.00616666666667,45760.46,Montana
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538,250.00616666666667,45760.46,Idaho
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538,250.00616666666667,45760.46,Wyoming
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538,250.00616666666667,45760.46,Colorado
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538,250.00616666666667,45760.46,New Mexico
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538,250.00616666666667,45760.46,Arizona
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538,250.00616666666667,45760.46,Utah
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538,250.00616666666667,45760.46,Nevada
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538,250.00616666666667,45760.46,Washington
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538,250.00616666666667,45760.46,Oregon
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538,250.00616666666667,45760.46,California
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538,250.00616666666667,45760.46,Alaska
